"","datos_sin_vacios.datos.PassengerId","datos_sin_vacios.datos.Survived","datos_sin_vacios.datos.Pclass","datos_sin_vacios.datos.Sex","datos_sin_vacios.datos.Age","datos_sin_vacios.datos.SibSp","datos_sin_vacios.datos.Parch","datos_sin_vacios.datos.Fare"
"1",1,0,3,1,22,1,0,7.25
"2",2,1,1,2,38,1,0,71.2833
"3",3,1,3,2,26,0,0,7.925
"4",4,1,1,2,35,1,0,53.1
"5",5,0,3,1,35,0,0,8.05
"6",7,0,1,1,54,0,0,51.8625
"7",9,1,3,2,27,0,2,11.1333
"8",10,1,2,2,14,1,0,30.0708
"9",11,1,3,2,4,1,1,16.7
"10",12,1,1,2,58,0,0,26.55
"11",13,0,3,1,20,0,0,8.05
"12",15,0,3,2,14,0,0,7.8542
"13",16,1,2,2,55,0,0,16
"14",19,0,3,2,31,1,0,18
"15",21,0,2,1,35,0,0,26
"16",22,1,2,1,34,0,0,13
"17",23,1,3,2,15,0,0,8.0292
"18",24,1,1,1,28,0,0,35.5
"19",31,0,1,1,40,0,0,27.7208
"20",36,0,1,1,42,1,0,52
"21",38,0,3,1,21,0,0,8.05
"22",39,0,3,2,18,2,0,18
"23",40,1,3,2,14,1,0,11.2417
"24",41,0,3,2,40,1,0,9.475
"25",42,0,2,2,27,1,0,21
"26",44,1,2,2,3,1,2,41.5792
"27",45,1,3,2,19,0,0,7.8792
"28",50,0,3,2,18,1,0,17.8
"29",52,0,3,1,21,0,0,7.8
"30",54,1,2,2,29,1,0,26
"31",55,0,1,1,65,0,1,61.9792
"32",57,1,2,2,21,0,0,10.5
"33",58,0,3,1,28.5,0,0,7.2292
"34",59,1,2,2,5,1,2,27.75
"35",61,0,3,1,22,0,0,7.2292
"36",67,1,2,2,29,0,0,10.5
"37",68,0,3,1,19,0,0,8.1583
"38",70,0,3,1,26,2,0,8.6625
"39",71,0,2,1,32,0,0,10.5
"40",74,0,3,1,26,1,0,14.4542
"41",75,1,3,1,32,0,0,56.4958
"42",76,0,3,1,25,0,0,7.65
"43",79,1,2,1,0.83,0,2,29
"44",80,1,3,2,30,0,0,12.475
"45",81,0,3,1,22,0,0,9
"46",82,1,3,1,29,0,0,9.5
"47",84,0,1,1,28,0,0,47.1
"48",85,1,2,2,17,0,0,10.5
"49",90,0,3,1,24,0,0,8.05
"50",91,0,3,1,29,0,0,8.05
"51",92,0,3,1,20,0,0,7.8542
"52",93,0,1,1,46,1,0,61.175
"53",94,0,3,1,26,1,2,20.575
"54",95,0,3,1,59,0,0,7.25
"55",98,1,1,1,23,0,1,63.3583
"56",99,1,2,2,34,0,1,23
"57",100,0,2,1,34,1,0,26
